unix,date,symbol,open,high,low,close,volume ETH,volume USDT,tradecount
1645934400000,2022-02-27 04:00:00,ETH/USDT,2715.97000000,2721.00000000,2700.00000000,2705.93000000,10474.09670000,28377575.43758200,23293
1645930800000,2022-02-27 03:00:00,ETH/USDT,2709.17000000,2727.00000000,2707.97000000,2715.97000000,12478.20680000,33908900.82995300,38817
1645927200000,2022-02-27 02:00:00,ETH/USDT,2682.34000000,2714.29000000,2678.21000000,2709.18000000,15715.02170000,42406790.21045400,31192
1645923600000,2022-02-27 01:00:00,ETH/USDT,2747.41000000,2754.03000000,2681.24000000,2682.35000000,39303.86580000,106562985.73155000,64272
1645920000000,2022-02-27 00:00:00,ETH/USDT,2779.47000000,2790.76000000,2740.61000000,2747.41000000,17492.89000000,48257096.60135500,46361
1645916400000,2022-02-26 23:00:00,ETH/USDT,2795.36000000,2795.37000000,2764.43000000,2779.47000000,14578.24350000,40505139.10623300,29936
1645912800000,2022-02-26 22:00:00,ETH/USDT,2824.50000000,2826.56000000,2788.83000000,2795.37000000,10965.12700000,30776279.76852700,26720
1645909200000,2022-02-26 21:00:00,ETH/USDT,2823.00000000,2855.01000000,2817.11000000,2824.51000000,23385.10550000,66335480.66824900,37193
1645905600000,2022-02-26 20:00:00,ETH/USDT,2809.02000000,2834.00000000,2808.45000000,2823.00000000,8111.15460000,22871375.15916300,17687
1645902000000,2022-02-26 19:00:00,ETH/USDT,2793.46000000,2834.36000000,2792.48000000,2809.01000000,25327.27940000,71380789.49049900,43222
1645898400000,2022-02-26 18:00:00,ETH/USDT,2790.91000000,2794.00000000,2764.44000000,2793.46000000,14634.17600000,40652441.86701400,27342
1645894800000,2022-02-26 17:00:00,ETH/USDT,2790.01000000,2796.10000000,2782.61000000,2790.91000000,6871.36720000,19173096.31755100,16299
1645891200000,2022-02-26 16:00:00,ETH/USDT,2785.15000000,2799.50000000,2780.40000000,2790.02000000,8123.47320000,22654730.44299800,20561
1645887600000,2022-02-26 15:00:00,ETH/USDT,2783.21000000,2809.51000000,2779.78000000,2785.08000000,19188.69340000,53551376.57319400,31921
1645884000000,2022-02-26 14:00:00,ETH/USDT,2771.92000000,2798.00000000,2758.48000000,2783.20000000,15744.05840000,43754949.41097000,30178
1645880400000,2022-02-26 13:00:00,ETH/USDT,2762.54000000,2786.64000000,2759.57000000,2771.92000000,17785.27000000,49334344.63737500,40400
1645876800000,2022-02-26 12:00:00,ETH/USDT,2751.48000000,2765.92000000,2742.16000000,2762.36000000,8957.27980000,24653276.12474800,24192
1645873200000,2022-02-26 11:00:00,ETH/USDT,2768.09000000,2779.90000000,2738.26000000,2751.48000000,13386.24140000,36911284.23604400,31184
1645869600000,2022-02-26 10:00:00,ETH/USDT,2748.46000000,2775.58000000,2744.02000000,2768.09000000,17815.22300000,49143780.38841000,26763
1645866000000,2022-02-26 09:00:00,ETH/USDT,2755.99000000,2763.96000000,2727.50000000,2748.45000000,23176.56160000,63762613.17928800,42295
1645862400000,2022-02-26 08:00:00,ETH/USDT,2792.89000000,2816.76000000,2741.60000000,2755.99000000,26541.03990000,73802168.81081500,48751
1645858800000,2022-02-26 07:00:00,ETH/USDT,2779.55000000,2793.55000000,2757.52000000,2792.94000000,15847.73900000,43982395.53933100,27792
1645855200000,2022-02-26 06:00:00,ETH/USDT,2776.00000000,2793.11000000,2774.25000000,2779.55000000,11128.06510000,30974361.82260200,19729
1645851600000,2022-02-26 05:00:00,ETH/USDT,2807.62000000,2809.98000000,2770.00000000,2776.00000000,13082.26020000,36466604.28481200,27942
1645848000000,2022-02-26 04:00:00,ETH/USDT,2793.59000000,2821.86000000,2793.14000000,2807.61000000,16621.96430000,46725621.40021900,25554
